Shipment_ID,Region,Transport_Mode,Priority,Distance_km,Shipment_Volume_units,Weight_kg,Delivery_Time_days,Transport_Cost_INR,Delayed,Delay_Days
SHP-0001,West,Rail,Standard,738.1,12.2,19.6,9.16,1973.0,No,10.0
SHP-0002,South,Air,Standard,255.5,20.5,24.8,0.81,2831.0,Yes,0.0
SHP-0003,West,Air,Standard,747.8,6.6,10.4,1.58,6233.0,No,1.88
SHP-0004,East,Road,Standard,191.0,22.6,42.2,3.85,1679.0,No,3.23
SHP-0005,North,Road,Standard,173.3,30.5,37.5,4.84,737.0,Yes,0.0
SHP-0006,West,Rail,Standard,464.0,17.2,25.0,9.19,1775.0,No,1.67
SHP-0007,West,Road,Express,431.9,54.5,98.1,5.68,4113.0,No,0.5
SHP-0008,West,Rail,Standard,388.5,12.4,11.9,5.82,1251.0,Yes,0.0
SHP-0009,North,Road,Express,343.7,22.6,39.8,5.39,2047.0,Yes,0.0
SHP-0010,South,Road,Standard,562.4,19.7,15.2,6.67,2189.0,No,0.5
SHP-0011,South,Road,Standard,465.4,19.0,27.8,4.43,1520.0,No,3.4
SHP-0012,West,Rail,Standard,670.6,18.9,30.7,8.5,1882.0,Yes,0.0
SHP-0013,East,Road,Standard,706.6,21.3,30.2,7.69,3411.0,Yes,0.0
SHP-0014,West,Road,Express,525.6,32.0,40.6,5.43,3809.0,Yes,0.0
SHP-0015,South,Road,Standard,298.1,42.9,60.9,3.96,2791.0,Yes,0.0
SHP-0016,North,Road,Standard,297.0,20.1,16.8,5.4,1353.0,Yes,0.0
SHP-0017,East,Road,Standard,351.7,31.5,28.9,3.9,2243.0,Yes,0.0
SHP-0018,North,Rail,Express,524.0,13.7,13.5,6.99,2487.0,No,0.5
SHP-0019,West,Road,Standard,647.8,30.6,42.8,7.14,2481.0,Yes,0.0
SHP-0020,East,Rail,Standard,307.8,13.2,15.9,7.18,845.0,Yes,0.0
SHP-0021,West,Air,Express,883.7,36.6,35.0,1.59,8235.0,Yes,0.0
SHP-0022,South,Road,Express,383.6,67.8,118.8,5.14,4277.0,Yes,0.0
SHP-0023,West,Road,Express,108.5,18.8,21.0,4.15,2434.0,Yes,0.0
SHP-0024,West,Road,Standard,1206.0,6.0,7.3,9.42,3722.0,No,2.89
SHP-0025,West,Road,Standard,453.0,14.9,17.3,6.2,884.0,Yes,0.0
SHP-0026,North,Road,Standard,713.0,39.5,34.7,7.35,3446.0,No,5.15
SHP-0027,South,Air,Express,145.2,27.2,42.6,1.46,2404.0,Yes,0.0
SHP-0028,North,Air,Standard,279.8,23.0,27.9,2.1,2772.0,Yes,0.0
SHP-0029,North,Rail,Express,360.2,35.0,23.4,6.36,2775.0,No,1.03
SHP-0030,East,Road,Standard,193.4,26.2,48.6,4.72,1556.0,Yes,0.0
SHP-0031,West,Rail,Standard,378.5,39.2,65.5,6.28,1892.0,Yes,0.0
SHP-0032,West,Rail,Standard,336.6,33.3,51.8,6.26,1799.0,Yes,0.0
SHP-0033,South,Road,Standard,830.7,46.4,80.5,6.78,4096.0,No,2.38
SHP-0034,South,Rail,Express,106.5,24.5,43.6,5.14,1650.0,Yes,0.0
SHP-0035,South,Road,Standard,595.7,33.0,35.4,7.17,2100.0,Yes,0.0
SHP-0036,North,Road,Standard,745.1,17.0,24.0,6.63,2522.0,Yes,0.0
SHP-0037,North,Road,Standard,1212.0,14.4,20.4,9.21,3990.0,No,2.42
SHP-0038,South,Road,Standard,660.7,51.4,50.5,7.15,3747.0,Yes,0.0
SHP-0039,North,Road,Standard,242.9,22.6,21.0,4.56,1048.0,Yes,0.0
SHP-0040,East,Rail,Standard,372.3,31.3,24.8,7.96,1774.0,Yes,0.0
SHP-0041,South,Air,Standard,499.2,21.5,31.7,2.03,3721.0,Yes,0.0
SHP-0042,West,Road,Standard,900.4,14.5,23.7,8.25,2926.0,No,0.5
SHP-0043,East,Rail,Standard,135.6,20.2,32.4,6.74,718.0,Yes,0.0
SHP-0044,South,Air,Standard,594.3,44.2,46.3,1.46,6517.0,Yes,0.0
SHP-0045,West,Road,Standard,157.3,27.3,24.7,4.53,1613.0,Yes,0.0
SHP-0046,West,Road,Standard,304.8,7.8,9.5,6.21,1627.0,No,4.44
SHP-0047,South,Road,Standard,179.6,17.8,23.8,4.35,776.0,Yes,0.0
SHP-0048,South,Road,Express,277.3,53.5,96.3,4.4,3850.0,Yes,0.0
SHP-0049,East,Rail,Express,681.7,17.9,31.1,8.75,2609.0,Yes,0.0
SHP-0050,North,Road,Standard,343.5,7.5,13.4,4.34,583.0,Yes,0.0
SHP-0051,North,Road,Standard,261.8,56.9,97.4,5.19,3972.0,Yes,0.0
SHP-0052,North,Road,Standard,241.3,29.2,54.2,3.68,905.0,Yes,0.0
SHP-0053,West,Road,Standard,207.7,19.3,23.8,4.13,1504.0,Yes,0.0
SHP-0054,East,Air,Standard,653.9,16.4,11.6,3.59,6206.0,Yes,0.0
SHP-0055,East,Road,Standard,441.8,36.4,27.5,6.12,2774.0,No,1.58
SHP-0056,West,Road,Standard,529.5,14.9,17.0,5.61,1862.0,Yes,0.0
SHP-0057,South,Road,Express,170.2,37.8,36.7,3.99,2565.0,Yes,0.0
SHP-0058,East,Road,Standard,442.9,27.1,23.3,5.81,1698.0,Yes,0.0
SHP-0059,North,Road,Standard,101.0,23.0,42.3,4.2,1221.0,Yes,0.0
SHP-0060,North,Road,Standard,827.0,21.8,19.5,7.47,2864.0,No,3.93
SHP-0061,East,Road,Express,594.0,18.2,33.7,5.09,2829.0,Yes,0.0
SHP-0062,South,Road,Standard,405.6,35.7,57.2,5.39,2345.0,Yes,0.0
SHP-0063,East,Rail,Standard,92.9,12.5,18.1,5.8,989.0,Yes,0.0
SHP-0064,West,Rail,Standard,234.2,8.2,12.3,5.24,618.0,No,3.3
